ticker,has_pt,has_rev,has_ni,has_quote,rec_index,pt_age_days,reason_missing_growth,reason_missing_rec
SATS,True,False,False,True,34.61538461538461,0,FMP_no_data,
TME,True,False,False,True,52.94117647058823,0,FMP_no_data,
RDDT,True,False,False,True,46.96969696969697,0,FMP_no_data,
NTDOY,True,False,False,True,42.42424242424242,0,FMP_no_data,
SIRI,True,True,True,True,-15.0,0,,
ROKU,True,True,True,True,41.02564102564103,0,,
WMG,True,False,False,True,45.833333333333336,0,FMP_no_data,
KT,True,False,False,True,64.28571428571429,0,FMP_no_data,
NFLX,True,True,True,True,50.892857142857146,0,,
IPG,True,False,False,True,30.0,0,FMP_no_data,
CMCSA,True,False,False,True,32.05128205128205,0,FMP_no_data,
NWSA,True,False,False,True,50.0,0,FMP_no_data,
DIS,True,True,True,True,53.94736842105263,0,,
OMC,True,False,False,True,37.5,0,FMP_no_data,
FOXA,True,False,False,True,31.03448275862069,0,FMP_no_data,
MTCH,True,False,False,True,29.310344827586206,0,FMP_no_data,
LUMN,True,False,False,True,26.31578947368421,0,FMP_no_data,
BCE,True,False,False,True,-12.5,0,FMP_no_data,
RCI,True,False,False,True,42.0,0,FMP_no_data,
LBRDK,True,False,False,True,50.0,0,FMP_no_data,
VZ,True,True,True,True,32.35294117647059,0,,
TU,True,False,False,True,27.083333333333332,0,FMP_no_data,
TTD,True,False,False,True,32.95454545454545,0,FMP_no_data,
CHTR,True,False,False,True,27.586206896551722,0,FMP_no_data,
LYV,True,False,False,True,55.55555555555556,0,FMP_no_data,
TTWO,True,False,False,True,57.89473684210526,0,FMP_no_data,
FOX,False,False,False,True,31.03448275862069,0,FMP_no_data,
VOD,True,False,False,True,20.689655172413794,0,FMP_no_data,
FYBR,True,False,False,True,-17.647058823529413,0,FMP_no_data,
TMUS,True,False,False,True,40.54054054054054,0,FMP_no_data,
GOOGL,True,True,True,True,,0,,FH_no_data_or_429
PINS,True,True,True,True,,0,,FH_no_data_or_429
GOOG,True,False,False,True,,0,FMP_no_data,FH_no_data_or_429
RBLX,True,True,True,True,,0,,FH_no_data_or_429
T,True,True,True,True,,0,,FH_no_data_or_429
TCEHY,True,False,False,True,,0,FMP_no_data,FH_no_data_or_429
VIV,True,False,False,True,50.0,0,FMP_no_data,
AMX,True,False,False,True,55.55555555555556,0,FMP_no_data,
META,True,True,True,True,58.97435897435897,0,,
NYT,True,False,False,True,37.5,0,FMP_no_data,
SNAP,True,True,True,True,12.0,0,,
